Date,Day,ADR Model,ADR Conf,ADR Sess,ADR Mid Trans,ADR Mid Box,ADR Mid Session,ODR Model,ODR BOX,ODR CONFO,ODR TRUERUE,ODR Confirmation Time,ODR Max Ext,ODR Max Ret,odr_false_conf_time,odr_end_of_session_SD,ODR END OF SESSION LOCATION,ODR Mid Trans,ODR Mid Box,ODR Mid Session,RDR Model,RDR BOX,RDR IDR MID,RDR DR MID,RDR Conf,RDR Sess,ADR MID RDR Trans,ADR MID RDR BOX,ADR MID RDR SESSION
2008-03-11,Tuesday,UXP,Neutral,Neutral,broken,broken,broken,U,GREEN,Short,FALSE,05:00,0.2821,-5.2564,06:10,-4.5897,above,broken,broken,broken,D,RED,0.83,0.85,Long,TRUE,broken,broken,broken
2008-03-12,Wednesday,UXP,Long,TRUE,intact,broken,broken,U,RED,Short,FALSE,04:05,0.75,-3.125,04:40,-0.1667,inside,broken,broken,broken,UX,RED,-1.57,-1.48,Short,FALSE,broken,intact,broken
2008-03-13,Thursday,UXP,Short,TRUE,intact,broken,broken,DXP,GREEN,Long,TRUE,04:50,2.8333,-0.9667,,1.6667,above,broken,broken,broken,U,GREEN,0.06,-0.31,Long,FALSE,broken,broken,broken
2008-03-14,Friday,RC,Short,TRUE,intact,broken,broken,RX,GREEN,Long,FALSE,06:30,0.3947,-1.0789,07:25,-0.0526,inside,broken,broken,broken,UXP,GREEN,1.13,0.6,Short,TRUE,broken,broken,broken
2008-03-17,Monday,DXP,Long,TRUE,intact,intact,broken,UXP,GREEN,Short,TRUE,05:20,5.5135,0.7297,,5.2703,below,intact,intact,intact,DXP,GREEN,11.75,11.63,Long,FALSE,intact,intact,intact
2008-03-18,Tuesday,DX,Short,TRUE,intact,intact,broken,DX,RED,Long,TRUE,04:25,3.2656,-0.0938,,3.0156,above,intact,intact,intact,UXP,RED,1.89,1.91,Long,TRUE,intact,intact,intact
2008-03-19,Wednesday,UXP,Short,TRUE,intact,broken,broken,RX,GREEN,Long,FALSE,04:00,0.4865,-3.3243,04:40,-3.0811,below,intact,intact,intact,DXP,RED,-6.21,-6.07,Long,FALSE,intact,intact,intact
2008-03-20,Thursday,DXP,Short,TRUE,broken,broken,broken,RC,RED,Short,TRUE,04:00,13.2222,0.2963,,11.4444,below,intact,intact,intact,DXP,GREEN,8.24,8.18,Long,TRUE,intact,intact,broken
2008-03-24,Monday,UXP,Long,FALSE,broken,broken,broken,UX,GREEN,Short,FALSE,04:50,0.4857,-1.7714,07:10,0.1714,below,broken,broken,broken,UX,GREEN,-2.22,-2.05,Long,FALSE,broken,intact,broken
2008-03-25,Tuesday,DXP,Long,TRUE,intact,intact,broken,UXP,RED,Long,FALSE,04:05,8.7143,-4.8571,05:20,6.3571,above,intact,broken,broken,RX,RED,-0.83,-0.83,Short,FALSE,intact,broken,broken
