Date,Day,ODR Model,ODR Type,Color,RDR Model,ADR std Based RDR open,ODR std Based RDR open,ADR or ODR bigger
9/9/2020,wednesday,u,long true,green,rc,1.5,0,odr
9/10/2020,thursday,rx,short true,red,u,0,0,odr
9/11/2020,friday,rx,long true,red,rc,0,0,odr
9/14/2020,monday,rx,short true,red,dxp,-2,-1,odr
9/15/2020,tuesday,dx,long true,na,uxp,1.5,2,adr
9/16/2020,wednesday,uxp,long true,green,ux,5,0.5,odr
9/17/2020,thursday,dxp,long true,green,ux,-0.5,0.5,odr
9/18/2020,friday,uxp,short true,red,d,0,-0.5,odr
9/21/2020,monday,dxp,short true,red,dxp,-4,-0.5,odr
9/22/2020,tuesday,dxp,long true,green,ux,1,1.5,odr
9/23/2020,wednesday,rx,long true,green,uxp,2.5,1,odr
9/24/2020,thursday,uxp,long true,green,uxp,1.5,2,odr
9/25/2020,friday,ux,long false,green,dxp,-2.5,-2,odr
9/28/2020,monday,dxp,long true,green,uxp,0,2.5,adr
9/29/2020,tuesday,dxp,long true,green,dxp,-8,-2,odr
9/30/2020,wednesday,rc,long false,green,uxp,1.5,2.5,adr
10/1/2020,thursday,u,short true,red,dxp,-7.5,-3,odr
10/2/2020,friday,dxp,short true,red,dxp,-10,-2.5,odr
10/5/2020,monday,uxp,long true,green,uxp,3,4,adr
10/6/2020,tuesday,u,short false,red,uxp,6,2.5,odr
10/7/2020,wednesday,uxp,short true,red,dxp,0,-1.5,odr
10/8/2020,thursday,uxp,long true,green,uxp,9.5,3.5,odr
10/9/2020,friday,ux,short true,green,dxp,-0.5,-2,adr
10/12/2020,monday,rc,short true,red,dxp,0,0,adr
10/13/2020,tuesday,rx,long true,red,ux,5.5,2.5,odr
10/14/2020,wednesday,dxp,long false,red,uxp,4,9.5,adr
10/15/2020,thursday,dxp,short true,red,dxp,-8,-6,adr
10/16/2020,friday,dxp,short true,green,dxp,-5.5,-0.5,odr
10/19/2020,monday,rx,short true,red,rc,0,0,odr
10/20/2020,tuesday,ux,short false,green,dx,-3,-2.5,odr
10/21/2020,wednesday,dx,short true,red,dxp,-3.5,-2,odr
10/22/2020,thursday,uxp,long true,green,uxp,4,1,odr
10/23/2020,friday,dx,long true,green,ux,1,1,odr
10/26/2020,monday,dxp,long true,red,rx,-1.5,0.5,odr
10/27/2020,tuesday,uxp,short false,red,rc,1.5,0,odr
10/28/2020,wednesday,dxp,short true,red,dxp,-12,-4,odr
10/29/2020,thursday,dxp,short true,red,dxp,-18,-7,odr
10/30/2020,friday,dxp,long true,green,dx,-2,0,odr
11/2/2020,monday,u,long true,green,uxp,2.5,2,odr
11/3/2020,tuesday,ux,long true,green,uxp,2.5,0.5,odr
11/4/2020,wednesday,dxp,long true,green,uxp,0.5,2.5,adr
11/5/2020,thursday,rc,long true,green,ux,0.5,0.5,adr
11/6/2020,friday,rc,short true,red,dxp,-0.5,-0.5,adr
11/9/2020,monday,rc,long true,red,uxp,6,15,adr
11/10/2020,tuesday,uxp,long true,green,uxp,4,1,adr
11/11/2020,wednesday,uxp,long true,green,uxp,4,0.5,adr
11/12/2020,thursday,d,short true,red,uxp,0,0.5,adr
11/13/2020,friday,d,long false,green,d,0,0.5,odr
11/16/2020,monday,uxp,short false,red,uxp,6.5,2.5,odr
11/17/2020,tuesday,dx,long false,red,dx,-2.5,-1,odr
11/18/2020,wednesday,uxp,long true,green,uxp,4.5,0.5,odr
11/19/2020,thursday,u,short true,red,rc,1,0,odr
11/20/2020,friday,u,long true,green,d,0,-0.5,odr
11/23/2020,monday,uxp,short true,green,dxp,4.5,-1,odr
11/24/2020,tuesday,uxp,long true,red,uxp,6,1.5,odr
11/25/2020,wednesday,uxp,short false,red,rx,2,0.5,adr
11/26/2020,thursday,dxp,na,red,rc,-5,0,odr
11/27/2020,friday,dx,long true,green,uxp,1.5,1,odr
11/30/2020,monday,dxp,long true,green,uxp,0.5,2.5,adr
12/1/2020,tuesday,rx,long true,green,dxp,-1.5,-0.5,odr
12/2/2020,wednesday,uxp,long false,green,uxp,1,0,odr
12/3/2020,thursday,uxp,short true,green,dxp,0,-1.5,adr
12/4/2020,friday,uxp,short true,green,dxp,-3,-3,odr
12/7/2020,monday,dxp,short true,red,rc,-1.5,0,odr
12/8/2020,tuesday,rx,long true,green,rx,-0.5,0,odr
12/9/2020,wednesday,uxp,short true,green,rc,1.5,0,odr
12/10/2020,thursday,u,long true,green,uxp,5,4.5,odr
12/11/2020,friday,d,short true,red,dx,-1,0,odr
12/14/2020,monday,uxp,short true,red,dxp,3.5,-1,odr
12/15/2020,tuesday,rx,long true,green,uxp,2,1,odr
12/16/2020,wednesday,u,long true,green,dx,0.5,0,odr
12/17/2020,thursday,uxp,short true,red,d,1,-1,adr
12/18/2020,friday,rx,long true,green,uxp,2.5,1.5,odr
12/21/2020,monday,dxp,short true,red,dx,-1.5,-1.5,odr
12/22/2020,tuesday,dxp,long true,green,u,-2,0,odr
12/23/2020,wednesday,u,long true,green,uxp,3,1.5,odr
12/24/2020,thursday,rx,short true,red,dx,-0.5,-0.5,odr
12/28/2020,monday,uxp,long true,green,dxp,0.5,-1,odr
12/29/2020,tuesday,ux,long true,red,u,2,0.5,odr
12/30/2020,wednesday,uxp,long true,green,dx,-3.5,-8,adr
12/31/2020,thursday,d,short true,red,dxp,-2,-1,odr
1/4/2021,monday,uxp,short true,green,dxp,-0.5,-5.5,adr
1/5/2021,tuesday,rc,long true,green,uxp,4,6.5,adr
1/6/2021,wednesday,rx,long false,red,rc,0,0,odr
1/7/2021,thursday,uxp,short true,green,dxp,0,-0.5,odr
1/8/2021,friday,u,long true,green,uxp,3.5,2,odr
1/11/2021,monday,dxp,long false,green,d,-4,-1,odr
1/12/2021,tuesday,uxp,long true,red,u,2.5,0,adr
1/13/2021,wednesday,d,short true,red,dxp,-2.5,-2,odr
1/14/2021,thursday,uxp,short true,red,dxp,-1,-1.5,odr
1/15/2021,friday,dxp,short true,red,dx,-9.5,-0.5,odr
1/18/2021,monday,rc,long true,green,uxp,0.5,0.5,adr
1/19/2021,tuesday,uxp,short false,green,u,4,1.5,odr
1/20/2021,wednesday,uxp,long true,green,rc,7.5,0,odr
1/21/2021,thursday,d,short true,red,rx,0.5,0.5,odr
1/22/2021,friday,dxp,short true,green,rx,-3.5,-3.5,adr
1/25/2021,monday,uxp,long false,green,dxp,-2,-4,odr
1/26/2021,tuesday,d,long true,green,u,0.5,0.5,odr
1/27/2021,wednesday,uxp,short true,red,dxp,-1.5,-2.5,odr
1/28/2021,thursday,d,short false,red,uxp,3,3.5,adr
1/29/2021,friday,rx,long true,green,uxp,3,1,odr
2/1/2021,monday,uxp,short false,green,rx,4.5,3.5,adr
2/2/2021,tuesday,uxp,long true,green,uxp,2.5,2.5,adr
2/3/2021,wednesday,ux,short false,red,uxp,1.5,1,adr
2/4/2021,thursday,uxp,short true,na,dxp,0.5,-1,odr
2/5/2021,friday,ux,long true,green,u,4.5,1.5,odr
2/8/2021,monday,uxp,short true,red,rx,0,-1.5,equal
2/9/2021,tuesday,ux,short true,red,dxp,-8.5,-4.5,odr
2/10/2021,wednesday,dx,long true,green,rx,2,1.5,odr
2/11/2021,thursday,ux,short true,red,uxp,5,1.5,odr
2/12/2021,friday,dx,short false,red,uxp,1.5,1.5,odr
2/15/2021,monday,u,na,red,dxp,-1,-1,odr
2/16/2021,tuesday,dx,short true,red,d,-0.5,0,odr
2/17/2021,wednesday,uxp,short false,green,dxp,0,-3,adr
2/18/2021,thursday,dx,short true,red,dxp,-0.5,-0.5,adr
2/19/2021,friday,dx,long true,red,ux,1,1.5,odr
2/22/2021,monday,dx,short false,red,uxp,2,2.5,adr
2/23/2021,tuesday,uxp,short true,green,dxp,-1.5,-3,adr
2/24/2021,wednesday,uxp,long true,green,uxp,5.5,3,odr
2/25/2021,thursday,uxp,short true,red,dxp,-1.5,-4.5,adr
2/26/2021,friday,dx,long false,green,dx,-0.5,0,adr
3/1/2021,monday,dx,short true,red,dxp,-3.5,-8.5,adr
3/2/2021,tuesday,dx,short false,red,uxp,3,3.5,adr
3/3/2021,wednesday,uxp,long true,red,uxp,4.5,3,odr
3/4/2021,thursday,uxp,short true,red,uxp,6.5,1.5,odr
3/5/2021,friday,uxp,long true,red,uxp,5.5,5,adr
3/8/2021,monday,dxp,short true,red,dxp,-6,-3,odr
3/9/2021,tuesday,rx,long true,green,dx,0,0,odr
3/10/2021,wednesday,dx,long true,green,ux,0,0.5,odr
3/11/2021,thursday,u,long true,green,rx,0,0,odr
3/12/2021,friday,d,long true,red,u,0,0,adr
3/15/2021,monday,u,long false,green,dxp,-8,-3.5,odr
3/16/2021,tuesday,dxp,short true,green,dxp,-3,-1.5,odr
3/17/2021,wednesday,uxp,short true,red,dxp,-7.5,-7.5,odr
3/18/2021,thursday,dxp,short false,red,dxp,-15,-1.5,odr
3/19/2021,friday,rx,long true,green,dx,0.5,0,odr
3/22/2021,monday,d,long true,red,uxp,2,2.5,adr
3/23/2021,tuesday,dxp,short true,green,dxp,-12,-8.5,odr
3/24/2021,wednesday,uxp,long true,green,uxp,7.5,2.5,odr
3/25/2021,thursday,dxp,short true,green,dxp,-4,-2,odr
3/26/2021,friday,uxp,long true,green,uxp,5,6.5,adr
3/29/2021,monday,dxp,long true,green,uxp,-1,1,adr
3/30/2021,tuesday,dxp,short true,green,dxp,-5,-3.5,adr
3/31/2021,wednesday,ux,short true,red,dx,-1,-1.5,odr
4/1/2021,thursday,uxp,short true,green,ux,5,0.5,odr
4/5/2021,monday,dxp,short true,na,dxp,-3,-1.5,adr
4/6/2021,tuesday,uxp,long true,green,uxp,10.5,1,odr
4/7/2021,wednesday,uxp,short false,green,dxp,-0.5,-1,odr
4/8/2021,thursday,dx,long true,green,rx,-0.5,0,adr
4/9/2021,friday,dxp,short false,red,dx,-4,0,odr
4/12/2021,monday,dxp,long true,red,uxp,7,5.5,odr
4/13/2021,tuesday,uxp,short false,red,uxp,6.5,0.5,odr
4/14/2021,wednesday,uxp,long true,red,uxp,10,2.5,odr
4/15/2021,thursday,uxp,short true,red,rx,0.5,-0.5,odr
4/16/2021,friday,uxp,short true,red,dxp,0,-2,odr
4/19/2021,monday,ux,na,green,ux,2.5,0,odr
4/20/2021,tuesday,uxp,long false,green,dxp,0,-1.5,odr
4/21/2021,wednesday,uxp,short true,green,dxp,-10.5,-9,odr
4/22/2021,thursday,rx,short false,red,u,9,2,odr
4/23/2021,friday,ux,short true,red,rx,-3,-3,odr
4/26/2021,monday,dxp,short true,green,d,-8,-2.5,odr
4/27/2021,tuesday,uxp,long false,green,u,5,0.5,odr
4/28/2021,wednesday,rx,short false,red,uxp,7,1.5,odr
4/29/2021,thursday,uxp,long true,green,uxp,9.5,6,odr
4/30/2021,friday,dx,short true,red,dxp,-4.5,-4,adr
5/3/2021,monday,dxp,long true,green,uxp,0,1,odr
5/4/2021,tuesday,rx,long true,green,uxp,8,3,odr
5/5/2021,wednesday,rx,long true,green,ux,0,0,odr
5/6/2021,thursday,uxp,long false,green,dxp,2.5,-0.5,odr
5/7/2021,friday,rx,short true,red,d,-6.5,-2,odr
5/10/2021,monday,dx,short false,red,dx,0,0,adr
5/11/2021,tuesday,dxp,short false,red,u,-3.5,-2,adr
5/12/2021,wednesday,ux,short false,green,uxp,1,0,odr
5/13/2021,thursday,dxp,short true,red,dxp,-7.5,-2.5,odr
5/14/2021,friday,rx,short false,green,uxp,14,5,odr
5/17/2021,monday,d,long false,green,uxp,0.5,0.5,adr
5/18/2021,tuesday,uxp,short true,green,dxp,-2,-2,odr
5/19/2021,wednesday,dxp,short true,red,dxp,-4.5,-4,adr
5/20/2021,thursday,uxp,short true,green,dxp,-1.5,-2,odr
5/21/2021,friday,d,short false,red,uxp,6,4.5,odr
5/24/2021,monday,uxp,long true,green,ux,3.5,1,odr
5/25/2021,tuesday,d,short true,red,rx,0.5,0.5,odr
5/26/2021,wednesday,uxp,short true,red,dxp,-3,-3.5,odr
5/27/2021,thursday,dxp,short true,red,uxp,1,1.5,odr
5/28/2021,friday,dxp,long true,green,u,0,2,adr
5/31/2021,monday,uxp,long true,green,u,3.5,1,odr
6/1/2021,tuesday,uxp,long true,green,uxp,6,0.5,odr
6/2/2021,wednesday,rc,long true,green,u,0,0.5,adr
6/3/2021,thursday,uxp,short true,red,dx,2,0,adr
6/4/2021,friday,uxp,long false,green,uxp,3.5,3.5,adr
6/7/2021,monday,dxp,long true,green,uxp,-1.5,1,odr
6/8/2021,tuesday,dxp,short false,red,rx,-2,0.5,odr
6/9/2021,wednesday,uxp,long false,red,rx,1.5,-0.5,adr
6/10/2021,thursday,d,long true,green,uxp,5,3,odr
6/11/2021,friday,uxp,long true,green,uxp,2,0.5,odr
6/14/2021,monday,uxp,long false,green,uxp,2.5,0,odr
6/15/2021,tuesday,rc,short false,red,uxp,1.5,2.5,adr
6/16/2021,wednesday,u,short true,red,dxp,-4,-3.5,odr
6/17/2021,thursday,ux,long true,green,uxp,2,1.5,odr
6/18/2021,friday,dxp,short true,green,uxp,-2,0,odr
6/21/2021,monday,rx,long true,green,u,-0.5,0,odr
6/22/2021,tuesday,rx,short true,red,u,-0.5,0,odr
6/23/2021,wednesday,uxp,long true,red,uxp,5.5,4.5,adr
6/24/2021,thursday,uxp,long false,green,dxp,-5,-5.5,odr
6/25/2021,friday,u,short true,red,rx,1,1,odr
6/28/2021,monday,dx,short false,red,dxp,-2,-1.5,adr
6/29/2021,tuesday,rx,short false,green,uxp,10,2.5,odr
6/30/2021,wednesday,dxp,short false,red,uxp,0,1,odr
7/1/2021,thursday,uxp,long true,green,uxp,18,6,odr
7/2/2021,friday,u,short false,green,dxp,-2,-1.5,odr
7/5/2021,monday,uxp,long true,red,d,1,0,adr
7/6/2021,tuesday,uxp,short true,green,dxp,-9,-5.5,odr
7/7/2021,wednesday,uxp,long false,green,dxp,0,-1.5,odr
7/8/2021,thursday,dx,short true,red,rx,-0.5,0,odr
7/9/2021,friday,u,long true,green,uxp,2.5,2.5,adr
7/12/2021,monday,dxp,short true,red,dxp,-4.5,-0.5,odr
7/13/2021,tuesday,ux,long false,green,dx,0,-0.5,dx
7/14/2021,wednesday,u,short true,red,d,0.5,0,odr
7/15/2021,thursday,dxp,long false,red,ux,-3.5,0,odr
7/16/2021,friday,rx,long true,green,rx,2,1.5,odr
7/19/2021,monday,dx,short true,red,dxp,-3.5,-3,adr
7/20/2021,tuesday,uxp,short true,red,dxp,-4.5,-10,adr
7/21/2021,wednesday,uxp,long true,green,uxp,17,2,odr
7/22/2021,thursday,dx,long true,red,uxp,3.5,5,adr
7/23/2021,friday,u,short true,green,d,0,-0.5,odr
7/26/2021,monday,dxp,short false,green,uxp,-2.5,2,adr
7/27/2021,tuesday,dxp,long true,red,ux,-0.5,1,odr
7/28/2021,wednesday,rx,long false,red,rc,1,0,odr
7/29/2021,thursday,uxp,long false,green,dxp,4.5,-1.5,adr
7/30/2021,friday,d,long true,green,uxp,3,2.5,odr
8/2/2021,monday,dxp,short true,red,d,-1.5,0,odr
8/3/2021,tuesday,dx,long false,green,dxp,-6.5,-3.5,odr
8/4/2021,wednesday,rx,short true,green,dxp,-18,-4,odr
8/5/2021,thursday,dx,long true,green,uxp,0,0,odr
8/6/2021,friday,uxp,long true,red,dx,5.5,0.5,odr
8/9/2021,monday,dxp,short true,red,d,-1.5,0,odr
8/10/2021,tuesday,uxp,short true,green,rx,3,-0.5,odr
8/11/2021,wednesday,rx,short true,red,dxp,-8,-2.5,odr
8/12/2021,thursday,rx,long false,green,d,-1.5,0,odr
8/13/2021,friday,dxp,short false,green,uxp,2,1.5,odr
8/16/2021,monday,dxp,long false,red,dxp,-4,-2,odr
8/17/2021,tuesday,dxp,long false,red,uxp,-2.5,0,odr
8/18/2021,wednesday,uxp,short false,red,d,2.5,0,odr
8/19/2021,thursday,dxp,short true,red,d,-7,-0.5,odr
8/20/2021,friday,d,short true,red,dxp,-4.5,-2,odr
8/23/2021,monday,uxp,long true,green,uxp,8,4.5,odr
8/24/2021,tuesday,uxp,long true,red,uxp,4,3,adr
8/25/2021,wednesday,d,short false,red,rx,0,0.5,adr
8/26/2021,thursday,dx,na,red,rx,-3,0,odr
8/27/2021,friday,uxp,short false,green,u,2.5,0,adr
8/30/2021,monday,dxp,short false,red,ux,-1.5,1,odr
8/31/2021,tuesday,rx,short true,red,dxp,-3.5,-0.5,odr
9/1/2021,wednesday,uxp,short true,green,dxp,-9,-11.5,odr
9/2/2021,thursday,uxp,short false,green,uxp,12,9.5,adr
9/3/2021,friday,uxp,long true,red,rx,0,-0.5,odr
9/6/2021,monday,dxp,long true,green,uxp,1.5,2,odr
9/7/2021,tuesday,ux,short true,red,dxp,-3,-4,adr
9/8/2021,wednesday,uxp,short false,red,uxp,8.5,4.5,odr
9/9/2021,thursday,rx,long true,red,d,-15.5,-3,odr
9/10/2021,friday,uxp,long true,green,uxp,13.5,3,odr
9/13/2021,monday,d,long true,red,uxp,1,1,odr
9/14/2021,tuesday,uxp,long false,green,d,3,0.5,odr
9/15/2021,wednesday,uxp,long true,green,uxp,7.5,5.5,equal
9/16/2021,thursday,u,short false,red,dxp,-0.5,-0.5,odr
9/17/2021,friday,dxp,short true,red,dxp,-4.5,-2,odr
9/20/2021,monday,dxp,short true,red,d,-4.5,0,odr
9/21/2021,tuesday,uxp,long false,green,dxp,0,-1,adr
9/22/2021,wednesday,uxp,short true,red,ux,6.5,0,odr
9/23/2021,thursday,uxp,long false,red,uxp,1.5,0,adr
9/24/2021,friday,ux,long false,red,ux,-0.5,-1.5,adr
9/27/2021,monday,rc,long true,red,uxp,1.5,2.5,adr
9/28/2021,tuesday,uxp,short true,red,d,6,0,odr
9/29/2021,wednesday,dx,long true,green,uxp,0.5,1,odr
9/30/2021,thursday,u,long false,green,dxp,-5.5,-4,odr
10/1/2021,friday,dxp,short true,red,uxp,-1,0.5,odr
10/4/2021,monday,d,long true,green,uxp,4.5,3.5,odr
10/5/2021,tuesday,ux,long true,green,uxp,4.5,3,odr
10/6/2021,wednesday,u,short true,red,dxp,-7.5,-2,odr
10/7/2021,thursday,dxp,short true,red,ux,-1,0.5,odr
10/8/2021,friday,uxp,long false,green,uxp,5,0.5,odr
10/11/2021,monday,uxp,long true,green,rx,3.5,0.5,adr
10/12/2021,tuesday,rx,long true,green,u,2.5,0.5,odr
10/13/2021,wednesday,u,short true,red,dxp,-3,-3,odr
10/14/2021,thursday,uxp,long true,green,dx,1.5,0,adr
10/15/2021,friday,uxp,short true,green,ux,2.5,0,odr
10/18/2021,monday,u,long false,red,rx,2,0.5,odr
10/19/2021,tuesday,uxp,long true,green,dxp,-2,-2.5,odr
10/20/2021,wednesday,dxp,short true,red,d,-7.5,-0.5,odr
10/21/2021,thursday,dxp,short true,red,dxp,-5,-1.5,odr
10/22/2021,friday,d,long true,green,uxp,2.5,2.5,odr
10/25/2021,monday,uxp,long false,green,uxp,5.5,2.5,odr
10/26/2021,tuesday,dxp,short false,red,u,0,0.5,odr
10/27/2021,wednesday,dxp,short false,red,u,-6.5,0,odr
10/28/2021,thursday,dx,long false,green,ux,0,0.5,odr
10/29/2021,friday,uxp,short true,green,dxp,-3.5,-2,odr
11/1/2021,monday,d,long true,red,uxp,5,4.5,odr
11/2/2021,tuesday,uxp,short true,red,dxp,-2.5,-2.5,odr
11/3/2021,wednesday,d,short true,red,dxp,-3,-3.5,adr
11/4/2021,thursday,ux,long true,green,uxp,15,4,odr
11/5/2021,friday,dxp,long true,red,u,0,1,odr
11/8/2021,monday,rc,long false,red,rx,-1,-3.5,adr
11/9/2021,tuesday,u,long true,green,uxp,3.5,0.5,odr
11/10/2021,wednesday,dx,short true,red,d,-2,-0.5,odr
11/11/2021,thursday,dx,long false,red,uxp,0,0.5,odr
11/12/2021,friday,dxp,short true,red,rc,-2,0,odr
11/15/2021,monday,dx,short true,green,dxp,-1.5,-2,adr
11/16/2021,tuesday,uxp,short true,red,dxp,-1,-4,adr
11/17/2021,wednesday,rx,short true,green,dx,0,0,odr
11/18/2021,thursday,dx,long true,green,uxp,1,2.5,adr
11/19/2021,friday,uxp,short true,red,dxp,-2.5,-5,adr
11/22/2021,monday,uxp,short true,green,dx,0,-1.5,adr
11/23/2021,tuesday,dxp,short false,red,uxp,4,3,odr
11/24/2021,wednesday,uxp,short true,green,dxp,0,-2,odr
11/25/2021,thursday,dxp,short true,green,dx,-1.5,-0.5,adr
11/26/2021,friday,dxp,short true,red,dxp,-16,-1.5,odr
11/29/2021,monday,rc,short true,red,rx,0.5,1,adr
11/30/2021,tuesday,dxp,short true,red,dxp,-12,-1,odr
12/1/2021,wednesday,uxp,long false,green,dx,2,-0.5,adr
12/2/2021,thursday,ux,long false,red,dxp,-1,-3.5,adr
12/3/2021,friday,uxp,na,green,ux,4,0.5,odr
12/6/2021,monday,dx,long true,red,u,0,0,odr
12/7/2021,tuesday,uxp,long true,green,uxp,4.5,0.5,odr
12/8/2021,wednesday,dx,long false,green,ux,-1,0,odr
12/9/2021,thursday,dx,short true,red,dxp,-4,-1,odr
12/10/2021,friday,uxp,long true,green,ux,3.5,0.5,odr
12/13/2021,monday,dx,short true,red,dxp,-4,-2,odr
12/14/2021,tuesday,uxp,short true,green,dxp,-7.5,-4,odr
12/15/2021,wednesday,rc,short true,green,dxp,0,0,adr
12/16/2021,thursday,d,short false,red,d,-0.5,0,odr
