Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2008-02-07,Thursday,Long,11:40:00,11:30:00,11:30:00,0.8795180722891632,15:55:00,15:45:00,15:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,10:50:00,10:45:00,10:30:00,-0.036144578313254454,1.1325301204819274,-0.036144578313254454,-0.5903614457831275,True,0.373493975903618
2008-02-08,Friday,Long,11:00:00,11:00:00,11:00:00,0.6562500000000389,14:55:00,14:45:00,14:30:00,11:05:00,11:00:00,11:00:00,11:05:00,11:00:00,11:00:00,10:35:00,10:30:00,10:30:00,0.3125000000000333,7.687500000000189,0.3125000000000333,-1.1250000000000222,True,0.7812500000000167
2008-02-11,Monday,Long,10:50:00,10:45:00,10:30:00,0.054054054054062876,11:25:00,11:15:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,10:40:00,10:30:00,10:30:00,0.0,4.094594594594624,0.0,-0.31081081081081835,True,0.24324324324325414
2008-02-12,Tuesday,Long,10:35:00,10:30:00,10:30:00,0.8333333333333289,10:40:00,10:30:00,10:30:00,13:25:00,13:15:00,13:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.7592592592592442,1.3888888888888729,-1.9999999999999736,-0.03703703703702924,False,1.259259259259231
2008-02-13,Wednesday,Short,10:35:00,10:30:00,10:30:00,0.6521739130434917,10:40:00,10:30:00,10:30:00,13:25:00,13:15:00,13:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.21739130434780995,1.260869565217335,-7.043478260869463,-2.782608695652128,False,1.3478260869565084
2008-02-14,Thursday,Long,10:30:00,10:30:00,10:30:00,0.5116279069767334,14:25:00,14:15:00,14:00:00,13:25:00,13:15:00,13:00:00,13:25:00,13:15:00,13:00:00,10:30:00,10:30:00,10:30:00,-0.8139534883720999,2.1395348837209003,-0.8139534883720999,-0.5813953488372001,True,0.790697674418567
2008-02-15,Friday,Short,11:30:00,11:30:00,11:30:00,-0.4230769230769357,12:15:00,12:15:00,12:00:00,11:35:00,11:30:00,11:30:00,11:35:00,11:30:00,11:30:00,10:55:00,10:45:00,10:30:00,0.7307692307692476,6.0000000000002185,0.7307692307692476,-0.8846153846154309,True,1.1538461538461833
2008-02-18,Monday,Short,11:20:00,11:15:00,11:00:00,0.4444444444444152,14:00:00,14:00:00,14:00:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,13:30:00,10:40:00,10:30:00,10:30:00,-0.44444444444446785,1.5925925925925888,-0.44444444444446785,-0.5925925925925887,True,0.4074074074074113
2008-02-19,Tuesday,Short,10:30:00,10:30:00,10:30:00,-0.885714285714266,11:25:00,11:15:00,11:00:00,14:25:00,14:15:00,14:00:00,11:00:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.7714285714285726,1.4000000000000488,-5.1714285714286214,-0.1714285714285401,False,0.45714285714289543
2008-02-20,Wednesday,Long,11:25:00,11:15:00,11:00:00,0.46666666666665907,14:10:00,14:00:00,14:00:00,11:50:00,11:45:00,11:30:00,11:50:00,11:45:00,11:30:00,10:45:00,10:45:00,10:30:00,-0.2533333333333303,2.7066666666666683,-0.2533333333333303,-0.7333333333333295,True,0.28000000000001063
2008-02-21,Thursday,Long,10:35:00,10:30:00,10:30:00,-1.2121212121212357,12:05:00,12:00:00,12:00:00,13:00:00,13:00:00,13:00:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,-0.48484848484847703,3.393939393939425,-5.909090909090906,-2.1818181818181897,False,1.7272727272727586
2008-02-22,Friday,Long,12:00:00,12:00:00,12:00:00,-1.0403225806451706,12:30:00,12:30:00,12:30:00,13:00:00,13:00:00,13:00:00,12:30:00,12:30:00,12:30:00,10:30:00,10:30:00,10:30:00,0.04838709677419558,0.8709677419354861,-0.31451612903225984,-1.1048387096774275,True,0.29838709677419845
2008-02-25,Monday,Long,10:40:00,10:30:00,10:30:00,-0.4166666666666706,14:15:00,14:15:00,14:00:00,12:30:00,12:30:00,12:30:00,12:30:00,12:30:00,12:30:00,10:30:00,10:30:00,10:30:00,0.0,1.866666666666692,0.0,-0.39999999999999525,True,0.8000000000000143
2008-02-26,Tuesday,Long,10:45:00,10:45:00,10:30:00,0.06451612903224475,13:20:00,13:15:00,13:00:00,10:50:00,10:45:00,10:30:00,10:50:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,1.258064516129025,6.193548387096734,1.258064516129025,-0.9677419354838547,True,2.0645161290322447
2008-02-27,Wednesday,Short,10:35:00,10:30:00,10:30:00,-0.04081632653060455,14:25:00,14:15:00,14:00:00,13:15:00,13:15:00,13:00:00,13:15:00,13:15:00,13:00:00,10:30:00,10:30:00,10:30:00,-1.3265306122449234,2.34693877551024,-1.3265306122449234,-0.8367346938775528,False,0.6734693877551056
2008-02-28,Thursday,Long,11:00:00,11:00:00,11:00:00,-0.13432835820895997,14:45:00,14:45:00,14:30:00,12:45:00,12:45:00,12:30:00,12:45:00,12:45:00,12:30:00,10:30:00,10:30:00,10:30:00,0.0,2.761194029850731,0.0,-0.8656716417910401,True,1.1343283582089387
2008-02-29,Friday,Long,11:00:00,11:00:00,11:00:00,-0.06849315068492857,11:05:00,11:00:00,11:00:00,12:40:00,12:30:00,12:30:00,11:05:00,11:00:00,11:00:00,10:55:00,10:45:00,10:30:00,0.28767123287672725,0.6164383561643961,-1.0136986301369935,-0.7397260273972598,True,0.5753424657534351
2008-03-03,Monday,Short,14:10:00,14:00:00,14:00:00,0.2784810126582242,14:20:00,14:15:00,14:00:00,14:15:00,14:15:00,14:00:00,14:15:00,14:15:00,14:00:00,13:05:00,13:00:00,13:00:00,0.15189873417720176,1.9620253164556771,0.15189873417720176,-1.0506329113924127,True,0.26582278481011656
2008-03-04,Tuesday,Short,10:55:00,10:45:00,10:30:00,-0.6388888888888878,14:00:00,14:00:00,14:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,11:00:00,10:40:00,10:30:00,10:30:00,0.037037037037042884,2.8981481481481484,0.037037037037042884,-0.45370370370369967,True,0.3611111111111122
2008-03-05,Wednesday,Long,10:30:00,10:30:00,10:30:00,0.2857142857142741,15:00:00,15:00:00,15:00:00,10:45:00,10:45:00,10:30:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.6857142857143228,9.57142857142875,0.6857142857143228,-0.3428571428571208,True,3.8571428571429442
2008-03-06,Thursday,Long,10:40:00,10:30:00,10:30:00,-0.12727272727274136,10:50:00,10:45:00,10:30:00,12:15:00,12:15:00,12:00:00,10:45:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.7272727272727414,2.290909090909112,-2.890909090909112,-0.6909090909090863,False,1.3636363636363706
2008-03-07,Friday,Long,10:45:00,10:45:00,10:30:00,0.06603773584906343,11:35:00,11:30:00,11:30:00,14:20:00,14:15:00,14:00:00,11:00:00,11:00:00,11:00:00,10:35:00,10:30:00,10:30:00,-0.09433962264151728,1.4433962264150924,-0.9716981132075462,-0.43396226415094996,True,0.31132075471697884
2008-03-10,Monday,Long,10:35:00,10:30:00,10:30:00,0.8774509803921572,14:20:00,14:15:00,14:00:00,11:45:00,11:45:00,11:30:00,11:45:00,11:45:00,11:30:00,10:30:00,10:30:00,10:30:00,-0.06372549019608298,0.9166666666666591,-0.06372549019608298,-0.17156862745098406,True,0.254901960784311
2008-03-11,Tuesday,Long,11:15:00,11:15:00,11:00:00,-0.974137931034482,12:25:00,12:15:00,12:00:00,14:05:00,14:00:00,14:00:00,11:30:00,11:30:00,11:30:00,10:30:00,10:30:00,10:30:00,-0.18965517241380261,0.9827586206896343,-0.5603448275862066,-1.1034482758620596,True,0.2758620689655088
2008-03-12,Wednesday,Short,10:30:00,10:30:00,10:30:00,-0.2222222222222082,10:45:00,10:45:00,10:30:00,14:25:00,14:15:00,14:00:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,1.4888888888888834,3.2666666666666435,-3.6444444444444226,-0.6888888888888896,False,3.0222222222222017
2008-03-13,Thursday,Long,10:30:00,10:30:00,10:30:00,0.22413793103447557,10:50:00,10:45:00,10:30:00,13:40:00,13:30:00,13:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.5862068965517317,1.4482758620689757,-2.4137931034482683,-0.0517241379310366,False,0.8103448275862073
2008-03-14,Friday,Short,10:50:00,10:45:00,10:30:00,0.9838709677419274,11:40:00,11:30:00,11:30:00,13:55:00,13:45:00,13:30:00,10:55:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.27419354838709753,2.2741935483870748,-0.1612903225806348,-0.5322580645161223,True,1.1290322580645125
2008-03-17,Monday,Long,10:35:00,10:30:00,10:30:00,0.945054945054948,11:05:00,11:00:00,11:00:00,13:35:00,13:30:00,13:30:00,10:50:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.48351648351648285,1.6043956043956036,-4.494505494505515,-0.3296703296703278,False,0.5274725274725182
2008-03-18,Tuesday,Long,12:05:00,12:00:00,12:00:00,-0.015503875968989089,14:25:00,14:15:00,14:00:00,14:20:00,14:15:00,14:00:00,14:20:00,14:15:00,14:00:00,10:30:00,10:30:00,10:30:00,-0.7984496124030978,1.666666666666663,-0.7984496124030978,-0.844961240310076,True,0.17054263565891303
2008-03-19,Wednesday,Long,10:35:00,10:30:00,10:30:00,-0.48913043478261087,10:40:00,10:30:00,10:30:00,14:25:00,14:15:00,14:00:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,-0.3043478260869572,0.48913043478261087,-3.945652173913031,-0.6739130434782645,False,0.7065217391304397
2008-03-20,Thursday,Long,10:35:00,10:30:00,10:30:00,0.8910891089108922,10:50:00,10:45:00,10:30:00,11:45:00,11:45:00,11:30:00,10:40:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.029702970297030677,1.8217821782178159,-0.5346534653465381,-0.4356435643564312,True,0.38613861386138476
2008-03-24,Monday,Long,10:30:00,10:30:00,10:30:00,0.5698924731182853,13:40:00,13:30:00,13:30:00,14:50:00,14:45:00,14:30:00,12:25:00,12:15:00,12:00:00,10:30:00,10:30:00,10:30:00,-0.8064516129032322,0.5161290322580729,-2.1397849462365706,-0.2580645161290288,False,0.3548387096774203
2008-03-25,Tuesday,Short,10:30:00,10:30:00,10:30:00,-1.1505376344085865,10:40:00,10:30:00,10:30:00,15:55:00,15:45:00,15:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.10752688172042321,0.7204301075268783,-2.2150537634408463,-0.10752688172043849,False,0.483870967741935
2008-03-26,Wednesday,Long,10:30:00,10:30:00,10:30:00,0.9553571428571329,15:55:00,15:45:00,15:30:00,10:35:00,10:30:00,10:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.5446428571428544,2.4732142857142723,0.5446428571428544,-0.16071428571429114,True,1.2142857142857089
2008-03-27,Thursday,Long,11:25:00,11:15:00,11:00:00,0.06060606060607039,14:05:00,14:00:00,14:00:00,12:20:00,12:15:00,12:00:00,12:20:00,12:15:00,12:00:00,10:40:00,10:30:00,10:30:00,-0.5151515151515015,2.454545454545474,-0.5151515151515015,-1.3484848484848564,True,0.8787878787879023
2008-03-28,Friday,Short,11:55:00,11:45:00,11:30:00,-0.4197530864197635,13:00:00,13:00:00,13:00:00,14:25:00,14:15:00,14:00:00,12:30:00,12:30:00,12:30:00,10:45:00,10:45:00,10:30:00,-0.11111111111109942,0.6790123456790363,-0.9753086419753132,-1.0987654320987823,True,0.4814814814814893
2008-03-31,Monday,Short,11:25:00,11:15:00,11:00:00,0.7822580645161313,14:05:00,14:00:00,14:00:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00,10:30:00,10:30:00,10:30:00,0.20161290322580727,4.266129032258087,0.20161290322580727,-1.0,True,0.22580645161290508
2008-04-01,Tuesday,Long,11:00:00,11:00:00,11:00:00,0.25301204819276407,13:05:00,13:00:00,13:00:00,11:35:00,11:30:00,11:30:00,11:35:00,11:30:00,11:30:00,10:35:00,10:30:00,10:30:00,-0.1927710843373628,2.4578313253012003,-0.1927710843373628,-0.722891566265072,True,0.5301204819277092
