Date,Day_of_Week,RDR_Trade_Direction,RDR_Confirmation_Candle,RDR_Confirmation_Candle_15min,RDR_Confirmation_Candle_30min,RDR_Box_STD,RDR_Max_EXT_Time,RDR_Max_EXT_Time_15min,RDR_Max_EXT_Time_30min,RDR_Max_RET_Time,RDR_Max_RET_Time_15min,RDR_Max_RET_Time_30min,RDR_M7_Time,RDR_M7_Time_15min,RDR_M7_Time_30min,RDR_RBC_Time,RDR_RBC_Time_15min,RDR_RBC_Time_30min,RDR_M7_Retrace,RDR_Max_Ext_STD,RDR_Max_Ret_STD,RDR_RBC_STD,RDR_Session_True,Confirmation_Size_STD
2012-02-10,Friday,Long,11:50:00,11:45:00,11:30:00,-0.16666666666666666,12:55:00,12:45:00,12:30:00,15:10:00,15:00:00,15:00:00,12:10:00,12:00:00,12:00:00,10:40:00,10:30:00,10:30:00,-0.2222222222222222,0.3888888888888889,-1.0,-0.7222222222222222,True,0.2222222222222222
2012-02-13,Monday,Short,10:30:00,10:30:00,10:30:00,-0.875,10:45:00,10:45:00,10:30:00,14:40:00,14:30:00,14:30:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,0.0,0.5,-1.5,-0.1875,False,0.375
2012-02-14,Tuesday,Short,13:05:00,13:00:00,13:00:00,-0.4,15:20:00,15:15:00,15:00:00,15:50:00,15:45:00,15:30:00,13:35:00,13:30:00,13:30:00,11:50:00,11:45:00,11:30:00,-0.3333333333333333,1.2,-1.5333333333333334,-1.1333333333333333,False,0.4666666666666667
2012-02-15,Wednesday,Long,11:45:00,11:45:00,11:30:00,-0.5625,11:50:00,11:45:00,11:30:00,15:25:00,15:15:00,15:00:00,11:50:00,11:45:00,11:30:00,10:35:00,10:30:00,10:30:00,0.0,0.3125,-3.5625,-0.875,False,0.375
2012-02-16,Thursday,Long,10:35:00,10:30:00,10:30:00,0.7307692307692307,15:45:00,15:45:00,15:30:00,11:05:00,11:00:00,11:00:00,11:05:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,-0.3076923076923077,1.7307692307692308,-0.3076923076923077,-0.07692307692307693,True,0.15384615384615385
2012-02-17,Friday,Short,11:00:00,11:00:00,11:00:00,-0.7692307692307693,11:05:00,11:00:00,11:00:00,15:25:00,15:15:00,15:00:00,11:05:00,11:00:00,11:00:00,10:30:00,10:30:00,10:30:00,0.38461538461538464,0.7692307692307693,-1.0,-0.38461538461538464,True,0.6923076923076923
2012-02-20,Monday,Long,10:30:00,10:30:00,10:30:00,0.875,11:00:00,11:00:00,11:00:00,11:20:00,11:15:00,11:00:00,10:35:00,10:30:00,10:30:00,10:30:00,10:30:00,10:30:00,-0.125,0.625,-0.375,-0.125,True,0.125
2012-02-21,Tuesday,Long,10:35:00,10:30:00,10:30:00,-0.3333333333333333,12:05:00,12:00:00,12:00:00,14:55:00,14:45:00,14:30:00,11:35:00,11:30:00,11:30:00,10:30:00,10:30:00,10:30:00,0.0,0.7333333333333333,-1.9333333333333333,-0.5333333333333333,False,0.3333333333333333
2012-02-22,Wednesday,Short,11:40:00,11:30:00,11:30:00,0.1,12:05:00,12:00:00,12:00:00,14:15:00,14:15:00,14:00:00,11:45:00,11:45:00,11:30:00,11:00:00,11:00:00,11:00:00,1.0,1.7,-0.7,-1.0,True,1.5
2012-02-23,Thursday,Long,10:45:00,10:45:00,10:30:00,0.0,15:55:00,15:45:00,15:30:00,10:50:00,10:45:00,10:30:00,10:50:00,10:45:00,10:30:00,10:30:00,10:30:00,10:30:00,0.125,2.0,0.125,-0.125,True,0.25
2012-02-24,Friday,Long,11:55:00,11:45:00,11:30:00,-0.16666666666666666,13:10:00,13:00:00,13:00:00,14:35:00,14:30:00,14:30:00,12:30:00,12:30:00,12:30:00,10:50:00,10:45:00,10:30:00,0.08333333333333333,0.5833333333333334,-1.4166666666666667,-0.9166666666666666,False,0.4166666666666667
2012-02-27,Monday,Long,10:40:00,10:30:00,10:30:00,0.6666666666666666,15:00:00,15:00:00,15:00:00,10:45:00,10:45:00,10:30:00,10:45:00,10:45:00,10:30:00,10:35:00,10:30:00,10:30:00,0.375,1.875,0.375,-0.16666666666666666,True,0.4583333333333333
2012-02-28,Tuesday,Long,11:20:00,11:15:00,11:00:00,0.21052631578947367,11:25:00,11:15:00,11:00:00,14:25:00,14:15:00,14:00:00,11:25:00,11:15:00,11:00:00,10:30:00,10:30:00,10:30:00,0.21052631578947367,0.5263157894736842,-0.7368421052631579,-0.3157894736842105,True,0.47368421052631576
